Age,Pace,Shooting,Passing,Dribbling,Defending,Physical,Ability,Potential
33,81,69,70,87,47,76,3.3,3.1
29,80,66,83,87,54,85,3.2,4.9
19,65,87,61,71,72,76,3.1,2.1
20,65,80,63,72,75,88,4.3,2.3
19,75,59,78,69,55,89,4.4,3.5
34,89,74,72,91,76,88,3.6,3.4
32,70,61,75,80,64,84,4.5,4.1
28,82,74,63,91,67,81,2.6,2.8
32,72,70,75,71,77,83,2.8,4.1
23,61,84,84,71,48,86,4.1,3.6
32,70,80,72,80,46,87,3.7,2.5
30,81,77,65,89,70,85,3.6,4.0
33,81,81,68,85,71,76,2.8,3.1
23,91,82,74,76,68,78,3.6,3.8
19,81,59,65,79,74,74,2.6,3.5
22,72,74,74,68,51,84,3.4,3.3
24,83,60,79,82,57,78,3.0,4.2
24,64,85,72,85,62,89,3.5,2.5
30,65,82,64,76,46,79,3.7,2.1
29,91,65,81,76,47,77,3.6,2.8
36,90,81,82,91,67,74,4.1,3.0
34,92,69,74,89,63,74,3.3,3.5
35,61,66,73,71,80,81,2.6,3.0
24,70,58,70,67,69,88,3.6,3.7
22,61,70,75,67,68,88,2.5,3.3
23,80,63,78,76,46,85,2.7,4.4
22,76,65,75,87,75,78,2.8,3.6
35,83,82,75,88,55,83,3.7,4.6
23,86,59,66,68,62,90,2.5,3.9
24,73,81,65,67,51,84,2.6,2.3
28,67,77,74,73,65,79,3.2,3.1
27,82,88,79,72,75,79,3.0,2.2
25,84,71,83,73,73,74,3.6,2.9
28,61,60,76,90,72,84,3.1,4.8
30,67,88,63,88,65,79,2.5,3.9
23,71,71,82,69,51,77,4.5,3.2
35,79,58,72,69,51,75,3.5,4.8
31,87,63,74,70,76,76,3.3,4.6
25,66,68,63,90,76,80,4.2,2.7
25,73,76,66,67,73,74,4.2,2.3
30,64,74,69,71,51,81,4.6,4.1
34,61,58,83,79,66,88,4.1,4.0
33,88,61,75,72,52,76,2.9,2.4
22,89,86,80,79,55,79,3.3,3.1
36,87,74,66,88,54,86,3.2,3.1
34,64,77,60,71,71,87,3.0,2.8
35,83,70,65,72,45,76,2.9,4.4
31,71,74,71,85,51,89,4.3,3.7
33,77,75,61,82,78,89,2.9,2.1
18,89,82,71,90,63,75,4.0,2.2
26,73,86,80,81,57,86,2.6,4.7
27,72,80,63,81,67,84,3.5,4.7
36,66,78,78,69,75,90,3.3,4.9
33,66,78,60,72,63,79,3.7,4.6
32,69,73,64,80,60,88,3.2,2.6
31,68,75,62,74,72,76,3.2,4.7
28,92,77,71,71,71,85,3.9,3.1
32,74,79,72,78,77,76,4.1,3.1
30,63,68,74,91,56,88,3.3,2.9
28,67,69,65,67,69,83,4.6,3.3
22,90,73,74,92,53,78,4.5,3.3
25,63,68,77,90,78,74,3.8,2.3
28,66,86,70,77,57,88,3.1,2.2
19,65,58,73,76,64,78,3.3,3.9
19,72,83,61,92,50,88,3.6,2.7
33,87,77,65,70,77,78,2.6,4.8
35,80,78,80,67,51,86,3.5,3.8
25,71,68,71,71,57,84,4.4,4.8
30,71,74,71,81,49,81,3.4,2.3
35,76,66,82,77,58,85,4.1,2.1
23,89,76,80,89,74,74,4.5,2.3
23,76,86,73,80,47,90,4.4,2.3
35,61,71,70,86,78,80,3.7,3.4
20,81,88,64,79,74,90,2.5,2.2
29,68,79,60,89,70,81,4.3,3.0
24,90,76,73,86,60,82,2.8,2.8
19,67,85,72,67,76,82,3.0,3.9
21,61,77,66,88,68,79,3.7,3.3
36,72,86,82,70,55,82,4.6,3.2
25,64,78,81,69,57,80,3.9,2.3
18,71,86,80,88,63,77,2.9,2.3
32,63,63,78,77,68,87,3.9,4.2
21,78,62,73,75,64,90,3.1,3.4
33,62,69,67,87,58,82,3.2,3.7
22,79,83,85,90,49,81,3.6,2.7
31,75,58,73,69,73,80,3.5,4.1
28,79,88,79,89,76,90,3.7,3.7
30,73,64,66,88,58,83,3.3,4.6
23,69,68,76,90,71,75,3.3,4.5
29,81,66,77,78,64,76,4.1,3.3
31,85,84,65,84,69,85,4.0,2.8
33,61,77,81,85,55,81,3.3,4.4
25,66,85,85,77,71,79,3.1,2.0
35,65,75,63,86,55,88,4.2,2.7
32,70,61,79,88,60,78,3.7,4.7
35,70,73,66,71,80,89,3.5,2.4
31,67,72,81,77,67,89,4.2,2.7
27,84,61,83,72,79,90,3.1,4.0
25,89,86,85,89,71,83,4.4,3.3
18,67,78,79,71,73,79,3.4,3.2
22,64,72,75,86,76,89,3.5,4.4
33,83,80,68,90,66,82,4.4,3.2
