player_positions,overall,potential,age,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
"RW, ST, CF",93,93,34,85,92,91,95,34,65,6,11,15,14,8,
ST,92,92,32,78,92,79,86,44,82,15,6,12,8,10,
"ST, LW",91,91,36,87,94,80,88,34,75,7,11,15,14,11,
"LW, CAM",91,91,29,91,83,86,94,37,63,9,9,15,15,11,
"CM, CAM",91,91,30,76,86,93,88,64,78,15,13,5,10,13,
GK,91,93,28,,,,,,,87,92,78,90,90,50
"ST, LW",91,95,22,97,88,80,92,36,77,13,5,7,11,6,
GK,90,90,35,,,,,,,88,88,91,89,88,56
GK,90,92,29,,,,,,,88,85,88,88,90,43
ST,90,90,27,70,91,83,83,47,83,8,10,11,14,11,
"CDM, CM",90,90,30,78,66,75,82,87,83,15,12,10,7,10,
"CF, ST",89,89,33,76,86,81,87,39,77,13,11,5,5,7,
GK,89,91,29,,,,,,,84,89,74,86,88,46
"LM, CF, LW",89,89,28,88,87,82,86,43,69,11,13,13,6,10,
CDM,89,89,29,65,73,76,73,86,90,13,14,16,12,12,
CB,89,89,29,78,60,71,72,91,84,13,10,13,11,11,
LW,89,89,29,91,83,80,89,44,77,10,10,15,7,14,
RW,89,89,29,90,87,81,90,45,75,14,14,9,11,14,
GK,89,91,27,,,,,,,87,82,93,88,88,64
"CDM, RB",89,90,26,70,73,86,84,83,79,8,15,7,15,15,
GK,89,90,28,,,,,,,86,86,84,90,89,52
GK,89,93,22,,,,,,,91,83,79,85,90,52
CB,88,88,35,70,70,76,74,88,84,11,8,9,7,11,
ST,88,88,34,72,90,82,84,47,83,27,25,31,33,37,
CM,88,88,31,53,81,91,81,71,68,10,11,13,7,10,
ST,88,88,28,84,87,74,78,39,83,8,15,14,7,10,
GK,88,88,34,,,,,,,89,84,75,87,89,54
"LW, RW",88,89,26,91,82,79,87,45,66,15,12,12,15,9,
CAM,88,89,26,75,86,89,84,70,77,12,14,15,8,14,
ST,88,93,20,89,91,65,80,45,88,7,14,13,11,7,
ST,87,87,33,71,89,75,87,33,69,13,15,6,11,14,
GK,87,87,34,,,,,,,88,83,65,84,90,61
CM,87,87,35,73,76,89,88,72,66,13,9,7,14,9,
"RW, LW",87,87,33,83,81,86,87,48,69,10,7,11,12,11,
GK,87,87,31,,,,,,,86,82,73,87,88,49
"CAM, RM, RW",87,87,31,67,84,83,80,56,71,6,7,11,14,14,
ST,87,87,31,86,87,67,81,39,77,6,8,15,12,6,
"CM, LM",87,87,28,71,81,86,86,65,83,5,6,2,4,3,
"CM, CAM",87,87,28,64,61,87,91,79,67,12,12,15,15,10,
"CB, CDM",87,90,27,81,53,75,74,89,81,6,6,12,10,13,
"CM, CDM",87,88,26,81,82,82,84,81,86,13,8,15,11,9,
"CF, CAM",87,88,27,84,86,86,90,40,60,5,4,4,5,8,
LB,87,88,27,84,61,81,81,82,76,11,8,10,7,14,
